id,from,trigger,action,target,guard,region
A-S01-001,S01,input,mutate,,,form
A-S01-002,S01,submit,navigate,S02,token.nonEmpty,form
A-S02-001,S02,click,navigate,S03,,board
A-S02-002,S02,click,open_overlay,M03,,controls
A-S02-003,S02,click,mutate,,,board
A-S02-004,S02,change,mutate,,,controls
A-S02-005,S02,change,mutate,,,controls
A-S02-006,S02,click,navigate,S04,,needs_answer_rail
A-S02-007,S02,change,mutate,,,topbar
A-S02-008,S02,work.changed,mutate,,,
A-S02-009,S02,question.opened,mutate,,,
A-S02-010,S02,gateway.unreachable,mutate,,,
A-S02-011,S02,item.quick_action,mutate,,,
A-S03-001,S03,click,open_overlay,M01,item.isParked,question
A-S03-002,S03,click,open_overlay,M02,item.awaitingApproval && gateway.atMainWorkingTree,actions
A-S03-003,S03,click,open_overlay,M03,,actions
A-S03-004,S03,click,mutate,,,context
A-S03-005,S03,click,navigate,S02,,topbar
A-S03-006,S03,click,mutate,,,timeline
A-S03-007,S03,work.changed,mutate,,,
A-S03-008,S03,question.answered,mutate,,,
A-S03-009,S03,merge.settled,mutate,,,
A-S03-010,S03,gateway.unreachable,mutate,,,
A-S03-011,S03,item.quick_action,mutate,,,
A-S04-001,S04,click,open_overlay,M01,,list
A-S04-002,S04,click,navigate,S03,,list
A-S04-003,S04,click,navigate,S02,,topbar
A-S04-004,S04,question.opened,mutate,,,
A-S04-005,S04,question.answered,mutate,,,
A-S04-006,S04,gateway.unreachable,mutate,,,
A-M01-001,M01,input,mutate,,,answer_form
A-M01-002,M01,submit,close_overlay,return_to_invoker,answer.nonEmpty,footer
A-M01-003,M01,click,close_overlay,return_to_invoker,,footer
A-M01-004,M01,click,close_overlay,return_to_invoker,,header
A-M02-001,M02,submit,close_overlay,return_to_invoker,gateway.atMainWorkingTree,footer
A-M02-002,M02,click,close_overlay,return_to_invoker,,footer
A-M02-003,M02,click,close_overlay,return_to_invoker,,header
A-M03-001,M03,input,mutate,,,form
A-M03-002,M03,submit,close_overlay,return_to_invoker,description.nonEmpty,footer
A-M03-003,M03,click,close_overlay,return_to_invoker,,footer
A-M03-004,M03,click,close_overlay,return_to_invoker,,header
A-C01-001,C01,click,emit_event,,,quick_actions
